epoch#, log10(loss), log10(val_loss)
618, -3.1931050645949197, -3.0979157857322623
619, -3.1928000323691896, -3.101898962154654
620, -3.191789730229626, -3.102560900905367
621, -3.192904392508673, -3.102188078385657
622, -3.193642723334445, -3.099980306097588
623, -3.193836745323969, -3.0996268298406826
624, -3.1932484698606327, -3.1017039925291883
625, -3.193678456675774, -3.0811675338516826
626, -3.193161892535514, -3.092954569953799
627, -3.1936794833124535, -3.1032576445875324
628, -3.1939437255110565, -3.0944433082849274
629, -3.192619668271174, -3.108340125325955
630, -3.192681869269781, -3.101184735058712
631, -3.1932452746731226, -3.097029105649187
632, -3.193738321546469, -3.0797250294862666
633, -3.1935111473263738, -3.0980085639454966
634, -3.194366096304035, -3.103959265435521
635, -3.1936579244518093, -3.0993056043805844
636, -3.193540317205487, -3.1022247672525665
637, -3.1946401355444594, -3.0923303325716422
638, -3.193791559247258, -3.0974086592653296
639, -3.1939858058115074, -3.098481854271461
640, -3.193361421035072, -3.0988015504241093
641, -3.1941412814523673, -3.1036251610196177
642, -3.1937208666883845, -3.103327871137125
643, -3.194134917477817, -3.097840887090923
644, -3.194344898799057, -3.10612598316526
645, -3.19459344131058, -3.097172565304746
646, -3.1946880617118505, -3.1013691596969992
647, -3.1947178252970074, -3.1039816830995193
648, -3.1949041711155255, -3.104537291329591
649, -3.194658775068614, -3.1030705254385267
650, -3.195172646470398, -3.1031176743022835
651, -3.1951101273521627, -3.1020572136211078
652, -3.194464385570019, -3.099388287850949
653, -3.1953053214074645, -3.1063812708227427
654, -3.1946310337320702, -3.1025836626916443
655, -3.1943897865310524, -3.1016281183287417
656, -3.1945359509849074, -3.102943848237665
657, -3.1943183242842954, -3.094583181737887
658, -3.194337503644306, -3.0926540730478975
